batchId,productId,productionDate,machineId,operatorId,producedQty,shift,reportId,serialNo,failureDate,location,failureMode,severity,reportedBy,testId,testDate,testName,measurementValue,unit,thresholdMin,thresholdMax,status,orderId,date,channel,qty,unitPrice,totalPrice
B100062,P1056,2023-11-02,M9,O3,296,MORNING,,,,,,,,,,,,,,,,,,,,,
B100063,P1008,2023-03-27,M5,O24,170,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100064,P1050,2023-03-23,M15,O23,263,MORNING,,,,,,,,,,,,,,,,,,,,,
B100065,P1049,2025-04-12,M10,O10,301,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100066,P1015,2023-11-29,M13,O12,261,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100067,P1021,2025-04-23,M13,O16,239,MORNING,,,,,,,,,,,,,,,,,,,,,
B100068,P1050,2023-08-10,M7,O3,281,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100069,P1029,2024-12-17,M5,O15,211,MORNING,,,,,,,,,,,,,,,,,,,,,
B100072,P1001,2023-08-25,M15,O17,327,MORNING,,,,,,,,,,,,,,,,,,,,,
B100073,P1006,2025-06-08,M6,O21,411,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100074,P1032,2023-08-25,M7,O37,257,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100075,P1033,2024-02-08,M6,O28,269,MORNING,,,,,,,,,,,,,,,,,,,,,
B100077,P1032,2024-09-25,M11,O27,219,MORNING,,,,,,,,,,,,,,,,,,,,,
B100078,P1044,2024-08-28,M9,O9,286,MORNING,,,,,,,,,,,,,,,,,,,,,
B100080,P1035,2023-01-01,M5,O19,280,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100082,P1032,2025-08-27,M13,O11,219,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100083,P1039,2024-11-17,M2,O16,201,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100084,P1014,2024-02-12,M3,O2,442,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100089,P1051,2025-08-09,M11,O34,385,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100091,P1053,2025-07-02,M15,O11,177,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100092,P1030,2025-07-10,M5,O16,280,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100093,P1031,2024-05-04,M5,O29,202,MORNING,,,,,,,,,,,,,,,,,,,,,
B100094,P1018,2024-04-25,M5,O22,212,MORNING,,,,,,,,,,,,,,,,,,,,,
B100095,P1014,2025-02-23,M12,O10,329,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100096,P1004,2025-04-29,M7,O22,180,MORNING,,,,,,,,,,,,,,,,,,,,,
B100097,P1026,2025-03-08,M15,O38,230,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100098,P1001,2025-02-18,M8,O1,305,MORNING,,,,,,,,,,,,,,,,,,,,,
B100100,P1057,2024-03-27,M8,O15,238,MORNING,,,,,,,,,,,,,,,,,,,,,
B100101,P1042,2025-04-08,M12,O11,329,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100102,P1058,2023-09-19,M10,O35,319,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100103,P1001,2023-06-21,M11,O28,261,MORNING,,,,,,,,,,,,,,,,,,,,,
B100104,P1029,2024-01-08,M1,O17,214,MORNING,,,,,,,,,,,,,,,,,,,,,
B100105,P1048,2025-02-15,M5,O27,283,MORNING,,,,,,,,,,,,,,,,,,,,,
B100106,P1005,2025-08-21,M1,O35,413,MORNING,,,,,,,,,,,,,,,,,,,,,
B100107,P1004,2023-03-24,M13,O2,305,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100108,P1012,2023-02-11,M10,O10,255,MORNING,,,,,,,,,,,,,,,,,,,,,
B100109,P1013,2025-08-10,M12,O17,329,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100110,P1010,2023-08-23,M13,O11,282,MORNING,,,,,,,,,,,,,,,,,,,,,
B100111,P1019,2025-02-07,M7,O13,242,MORNING,,,,,,,,,,,,,,,,,,,,,
B100112,P1044,2024-05-12,M2,O20,305,MORNING,,,,,,,,,,,,,,,,,,,,,
B100113,P1036,2023-03-26,M6,O35,173,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100115,P1027,2025-01-11,M11,O30,255,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100116,P1027,2023-12-27,M12,O34,304,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100117,P1034,2025-09-17,M8,O28,238,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100118,P1037,2024-07-03,M6,O16,264,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100119,P1015,2025-08-09,M10,O40,223,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100120,P1021,2023-02-28,M8,O21,270,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100123,P1048,2024-05-07,M12,O31,307,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100124,P1031,2025-07-06,M13,O2,291,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100125,P1019,2025-01-25,M8,O36,277,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100126,P1027,2024-11-08,M6,O30,243,MORNING,,,,,,,,,,,,,,,,,,,,,
B100127,P1012,2024-10-08,M2,O35,302,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100128,P1044,2024-01-15,M4,O14,245,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100129,P1048,2024-08-02,M2,O13,193,MORNING,,,,,,,,,,,,,,,,,,,,,
B100130,P1023,2024-01-03,M5,O1,240,MORNING,,,,,,,,,,,,,,,,,,,,,
B100131,P1003,2024-08-21,M12,O9,214,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100132,P1048,2025-10-02,M2,O1,179,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100133,P1011,2023-04-16,M5,O31,214,MORNING,,,,,,,,,,,,,,,,,,,,,
B100135,P1051,2024-09-14,M2,O16,200,MORNING,,,,,,,,,,,,,,,,,,,,,
B100136,P1048,2025-05-02,M10,O39,262,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100138,P1019,2023-05-04,M10,O7,295,MORNING,,,,,,,,,,,,,,,,,,,,,
B100139,P1042,2023-06-16,M3,O16,234,MORNING,,,,,,,,,,,,,,,,,,,,,
B100140,P1004,2023-11-17,M1,O27,160,MORNING,,,,,,,,,,,,,,,,,,,,,
B100141,P1014,2024-08-13,M12,O19,278,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100142,P1029,2023-05-26,M11,O15,359,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100143,P1042,2024-02-10,M7,O8,193,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100144,P1041,2023-11-02,M15,O18,262,MORNING,,,,,,,,,,,,,,,,,,,,,
B100145,P1019,2024-08-14,M8,O8,226,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100146,P1019,2025-04-04,M5,O33,177,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100148,P1001,2023-07-07,M4,O37,237,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100149,P1052,2024-07-05,M10,O3,242,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100150,P1011,2025-08-21,M9,O29,288,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100151,P1040,2025-10-04,M2,O31,227,MORNING,,,,,,,,,,,,,,,,,,,,,
B100154,P1005,2024-10-06,M5,O21,339,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100155,P1052,2023-01-03,M11,O35,330,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100156,P1003,2024-01-20,M9,O24,190,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100157,P1003,2024-02-21,M5,O36,192,MORNING,,,,,,,,,,,,,,,,,,,,,
B100158,P1018,2025-06-16,M15,O32,386,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100159,P1015,2023-11-21,M5,O36,380,MORNING,,,,,,,,,,,,,,,,,,,,,
B100160,P1026,2023-07-10,M4,O8,216,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100162,P1030,2025-08-25,M4,O30,184,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100163,P1032,2023-10-07,M14,O5,228,MORNING,,,,,,,,,,,,,,,,,,,,,
B100164,P1050,2025-04-29,M6,O33,249,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100165,P1053,2025-09-29,M14,O10,254,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100166,P1030,2024-12-07,M6,O36,255,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100167,P1055,2024-01-22,M12,O16,182,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100168,P1014,2025-04-21,M1,O21,246,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100170,P1037,2024-11-10,M14,O7,303,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100171,P1029,2023-02-01,M12,O10,196,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100172,P1041,2023-11-13,M2,O31,260,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100173,P1025,2023-06-14,M14,O22,196,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100174,P1054,2025-02-17,M6,O32,263,MORNING,,,,,,,,,,,,,,,,,,,,,
B100175,P1040,2024-08-11,M4,O6,236,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100176,P1006,2023-07-25,M8,O11,197,MORNING,,,,,,,,,,,,,,,,,,,,,
B100177,P1050,2023-04-25,M5,O23,107,MORNING,,,,,,,,,,,,,,,,,,,,,
B100178,P1009,2024-05-15,M9,O27,136,MORNING,,,,,,,,,,,,,,,,,,,,,
B100179,P1005,2025-02-22,M10,O16,200,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100180,P1037,2023-10-21,M4,O30,199,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100181,P1057,2025-08-10,M15,O19,190,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100182,P1010,2023-06-01,M8,O23,308,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100183,P1044,2024-05-27,M8,O20,245,MORNING,,,,,,,,,,,,,,,,,,,,,
B100185,P1044,2024-08-27,M1,O26,294,MORNING,,,,,,,,,,,,,,,,,,,,,
B100186,P1036,2023-04-11,M15,O39,245,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100187,P1049,2024-04-16,M10,O23,117,MORNING,,,,,,,,,,,,,,,,,,,,,
B100188,P1012,2024-05-28,M11,O9,145,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100189,P1019,2025-06-21,M1,O38,140,MORNING,,,,,,,,,,,,,,,,,,,,,
B100190,P1008,2023-07-04,M15,O19,216,MORNING,,,,,,,,,,,,,,,,,,,,,
B100191,P1050,2025-01-19,M9,O33,314,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100192,P1053,2023-12-03,M5,O31,307,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100193,P1051,2023-08-24,M8,O5,238,MORNING,,,,,,,,,,,,,,,,,,,,,
B100194,P1014,2025-03-24,M14,O36,167,MORNING,,,,,,,,,,,,,,,,,,,,,
B100195,P1034,2023-09-11,M8,O24,342,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100196,P1043,2024-06-20,M10,O25,323,MORNING,,,,,,,,,,,,,,,,,,,,,
B100197,P1014,2025-08-23,M1,O40,100,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100198,P1035,2024-11-02,M15,O40,254,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100199,P1058,2024-09-10,M11,O27,274,MORNING,,,,,,,,,,,,,,,,,,,,,
B100200,P1002,2023-03-18,M5,O32,288,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100201,P1024,2025-07-18,M6,O35,284,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100202,P1047,2023-11-13,M15,O27,175,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100204,P1028,2024-04-28,M14,O24,336,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100205,P1041,2025-01-04,M1,O26,312,MORNING,,,,,,,,,,,,,,,,,,,,,
B100206,P1007,2025-07-20,M2,O14,190,MORNING,,,,,,,,,,,,,,,,,,,,,
B100207,P1050,2024-11-14,M4,O9,176,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100208,P1013,2023-05-21,M14,O36,262,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100209,P1021,2023-10-30,M13,O39,297,MORNING,,,,,,,,,,,,,,,,,,,,,
B100210,P1054,2023-10-24,M3,O35,249,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100211,P1001,2023-09-27,M1,O23,293,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100212,P1015,2024-10-25,M1,O12,246,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100213,P1007,2023-05-11,M8,O29,286,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100214,P1032,2023-08-12,M8,O33,267,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100215,P1058,2024-09-09,M8,O2,345,MORNING,,,,,,,,,,,,,,,,,,,,,
B100216,P1030,2025-04-02,M7,O7,96,MORNING,,,,,,,,,,,,,,,,,,,,,
B100218,P1017,2024-10-27,M7,O39,174,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100219,P1006,2023-08-23,M14,O36,235,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100220,P1013,2025-05-30,M8,O15,137,MORNING,,,,,,,,,,,,,,,,,,,,,
B100221,P1046,2023-07-14,M6,O28,317,MORNING,,,,,,,,,,,,,,,,,,,,,
B100222,P1016,2025-02-05,M3,O31,370,MORNING,,,,,,,,,,,,,,,,,,,,,
B100223,P1006,2025-02-02,M13,O9,304,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100224,P1037,2024-11-06,M11,O8,129,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100225,P1027,2023-04-16,M5,O39,325,MORNING,,,,,,,,,,,,,,,,,,,,,
B100226,P1006,2024-03-11,M3,O31,255,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100227,P1023,2023-08-24,M13,O18,283,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100228,P1051,2025-05-28,M14,O36,377,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100229,P1041,2023-02-23,M10,O18,229,MORNING,,,,,,,,,,,,,,,,,,,,,
B100230,P1017,2024-09-24,M15,O22,223,MORNING,,,,,,,,,,,,,,,,,,,,,
B100232,P1001,2023-07-07,M12,O34,265,MORNING,,,,,,,,,,,,,,,,,,,,,
B100233,P1023,2024-09-30,M12,O21,321,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100234,P1036,2023-06-23,M15,O4,315,MORNING,,,,,,,,,,,,,,,,,,,,,
B100235,P1005,2024-07-11,M8,O28,347,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100236,P1028,2025-04-28,M5,O14,251,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100237,P1018,2025-09-23,M9,O20,215,MORNING,,,,,,,,,,,,,,,,,,,,,
B100238,P1025,2023-04-23,M1,O14,234,MORNING,,,,,,,,,,,,,,,,,,,,,
B100239,P1016,2024-08-15,M6,O8,295,MORNING,,,,,,,,,,,,,,,,,,,,,
B100241,P1053,2024-12-26,M2,O26,324,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100242,P1002,2025-06-12,M1,O30,372,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100243,P1036,2025-04-08,M12,O27,183,MORNING,,,,,,,,,,,,,,,,,,,,,
B100244,P1025,2023-02-12,M6,O11,280,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100245,P1058,2025-01-11,M2,O28,157,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100247,P1021,2024-03-29,M6,O11,239,MORNING,,,,,,,,,,,,,,,,,,,,,
B100249,P1052,2023-10-30,M4,O7,363,MORNING,,,,,,,,,,,,,,,,,,,,,
B100250,P1012,2023-12-22,M10,O10,256,MORNING,,,,,,,,,,,,,,,,,,,,,
B100252,P1028,2024-10-23,M14,O21,265,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100253,P1019,2024-07-16,M10,O4,271,MORNING,,,,,,,,,,,,,,,,,,,,,
B100254,P1004,2024-09-27,M8,O29,315,MORNING,,,,,,,,,,,,,,,,,,,,,
B100255,P1041,2023-07-04,M10,O39,265,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100256,P1029,2023-03-26,M8,O37,214,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100257,P1009,2023-05-07,M8,O7,199,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100258,P1053,2024-12-04,M12,O6,206,MORNING,,,,,,,,,,,,,,,,,,,,,
B100259,P1028,2025-06-18,M9,O34,248,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100260,P1023,2025-02-02,M15,O19,158,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100262,P1043,2025-03-02,M5,O17,233,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100264,P1009,2024-12-17,M5,O26,325,MORNING,,,,,,,,,,,,,,,,,,,,,
B100265,P1035,2025-02-10,M11,O22,329,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100267,P1013,2024-11-30,M13,O32,249,MORNING,,,,,,,,,,,,,,,,,,,,,
B100269,P1053,2023-03-19,M11,O22,223,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100270,P1039,2023-09-26,M10,O25,275,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100272,P1023,2024-05-01,M8,O40,224,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100273,P1034,2024-05-04,M5,O31,363,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100274,P1012,2025-01-23,M11,O37,327,MORNING,,,,,,,,,,,,,,,,,,,,,
B100275,P1024,2025-10-26,M9,O27,242,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100276,P1052,2024-02-13,M13,O39,284,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100277,P1055,2025-01-30,M9,O7,290,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100278,P1033,2023-09-13,M5,O6,254,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100279,P1009,2025-06-14,M2,O15,194,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100280,P1056,2024-12-16,M15,O2,189,MORNING,,,,,,,,,,,,,,,,,,,,,
B100281,P1024,2023-06-17,M6,O15,285,MORNING,,,,,,,,,,,,,,,,,,,,,
B100282,P1059,2023-07-22,M14,O22,259,MORNING,,,,,,,,,,,,,,,,,,,,,
B100283,P1053,2025-08-25,M12,O9,213,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100285,P1009,2025-05-16,M2,O19,242,MORNING,,,,,,,,,,,,,,,,,,,,,
B100286,P1007,2023-04-08,M4,O27,187,MORNING,,,,,,,,,,,,,,,,,,,,,
B100287,P1053,2025-10-20,M10,O35,175,MORNING,,,,,,,,,,,,,,,,,,,,,
B100288,P1032,2024-05-10,M12,O10,248,MORNING,,,,,,,,,,,,,,,,,,,,,
B100289,P1036,2025-05-03,M3,O6,253,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100290,P1023,2023-05-19,M9,O35,41,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100291,P1024,2025-08-20,M1,O25,240,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100292,P1016,2023-02-03,M6,O5,186,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100294,P1021,2023-12-25,M14,O30,329,MORNING,,,,,,,,,,,,,,,,,,,,,
B100296,P1012,2023-03-31,M13,O13,295,MORNING,,,,,,,,,,,,,,,,,,,,,
B100297,P1025,2025-08-27,M5,O3,209,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100298,P1012,2024-08-08,M6,O4,291,MORNING,,,,,,,,,,,,,,,,,,,,,
B100301,P1033,2024-06-30,M13,O6,251,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100302,P1005,2025-05-31,M10,O12,190,MORNING,,,,,,,,,,,,,,,,,,,,,
B100303,P1042,2024-08-28,M5,O29,232,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100304,P1027,2023-12-08,M12,O29,237,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100306,P1040,2025-04-11,M6,O33,283,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100308,P1049,2025-01-20,M6,O25,267,MORNING,,,,,,,,,,,,,,,,,,,,,
B100310,P1036,2023-10-09,M9,O24,168,MORNING,,,,,,,,,,,,,,,,,,,,,
B100312,P1024,2023-08-30,M5,O17,236,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100313,P1044,2025-10-02,M4,O8,203,MORNING,,,,,,,,,,,,,,,,,,,,,
B100315,P1020,2024-12-12,M12,O5,247,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100316,P1018,2024-09-06,M14,O11,211,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100317,P1050,2025-01-10,M9,O15,94,MORNING,,,,,,,,,,,,,,,,,,,,,
B100318,P1012,2023-10-12,M4,O32,337,MORNING,,,,,,,,,,,,,,,,,,,,,
B100319,P1051,2023-09-23,M10,O6,264,MORNING,,,,,,,,,,,,,,,,,,,,,
B100320,P1025,2025-09-07,M9,O27,265,MORNING,,,,,,,,,,,,,,,,,,,,,
B100321,P1020,2023-06-01,M8,O30,120,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100322,P1022,2023-09-20,M15,O36,221,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100323,P1027,2025-10-26,M15,O4,215,NIGHT,,,,,,,,,,,,,,,,,,,,,
B100325,P1033,2024-08-04,M14,O6,389,MORNING,,,,,,,,,,,,,,,,,,,,,
B100326,P1040,2024-07-16,M3,O20,226,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100327,P1037,2023-11-12,M3,O40,229,AFTERNOON,,,,,,,,,,,,,,,,,,,,,
B100328,P1038,2024-11-22,M14,O37,385,MORNING,,,,,,,,,,,,,,,,,,,,,
